title,barkbands_flatness_db,dissonance,dynamic_complexity,hfc,spectral_centroid,bpm,danceability,key_scale
03.Gears,"(0.1, 0.001)","(0.487, 0.0)",1.42598772049,"(30.09, 379.388)","(1898.828, 370422.219)",135.084,1.41,minor
369-Just_Look_at_You,"(0.441, 0.004)","(0.351, 0.005)",2.92306256294,"(8.18, 32.328)","(362.367, 78434.75)",94.938,0.968,major
AllRivers,"(0.336, 0.009)","(0.364, 0.006)",7.56638908386,"(4.373, 32.437)","(440.609, 250268.828)",77.188,0.901,major
Amaranth_Cove-Infinite_Sustain,"(0.456, 0.008)","(0.351, 0.007)",2.6981549263,"(8.263, 38.804)","(293.232, 50851.285)",123.947,0.962,minor
Andromeda,"(0.573, 0.004)","(0.205, 0.01)",3.40380525589,"(7.99, 54.489)","(266.222, 43606.773)",135.295,0.937,minor
Atlas,"(0.409, 0.022)","(0.297, 0.012)",4.50810146332,"(13.29, 1771.4)","(699.673, 1628873.875)",165.6,0.959,minor
At_The_Gates-Cold,"(0.086, 0.001)","(0.494, 0.0)",1.52774131298,"(40.131, 295.975)","(2876.856, 171644.406)",172.266,1.221,minor
AutumnForest,"(0.418, 0.004)","(0.333, 0.006)",5.96970319748,"(7.492, 163.524)","(438.547, 163672.422)",130.19,0.814,major
BetweenTwoStars,"(0.487, 0.008)","(0.343, 0.006)",3.57525897026,"(10.607, 52.285)","(320.764, 45476.027)",91.577,0.788,minor
BlanketofPeace,"(0.318, 0.003)","(0.371, 0.003)",2.14411902428,"(10.367, 41.709)","(373.739, 40352.18)",124.048,1.006,major
BouncingClouds,"(0.486, 0.007)","(0.337, 0.008)",7.4646191597,"(8.907, 109.187)","(307.163, 37613.086)",104.764,0.825,major
BreathOfLife,"(0.343, 0.003)","(0.41, 0.002)",2.37433004379,"(9.277, 48.121)","(365.041, 129062.992)",137.102,0.839,minor
Calling,"(0.564, 0.002)","(0.264, 0.006)",2.61609125137,"(7.755, 25.019)","(268.523, 31695.018)",142.709,1.043,major
CalltoRest,"(0.579, 0.004)","(0.246, 0.016)",1.8618042469,"(8.642, 27.799)","(340.09, 632498.875)",112.095,1.236,major
CalmingWinds,"(0.309, 0.002)","(0.372, 0.003)",2.48673129082,"(9.429, 30.968)","(343.897, 50083.094)",89.974,1.128,major
Cosmos,"(0.35, 0.002)","(0.323, 0.007)",3.50339078903,"(7.277, 52.478)","(394.411, 32260.277)",127.891,0.861,major
Cyclicdreams,"(0.33, 0.005)","(0.41, 0.004)",8.11598396301,"(3.495, 32.389)","(359.943, 37682.785)",150.45,0.78,minor
Decumbent,"(0.65, 0.006)","(0.169, 0.01)",3.17997503281,"(7.309, 42.109)","(293.848, 36273.473)",151.467,0.856,major
Delta,"(0.455, 0.009)","(0.326, 0.01)",3.90001034737,"(8.162, 51.717)","(331.741, 41358.199)",131.685,0.854,major
Departing,"(0.44, 0.024)","(0.254, 0.016)",8.19721603394,"(5.328, 144.109)","(771.28, 1459047.875)",111.211,0.917,major
Descending,"(0.359, 0.004)","(0.395, 0.003)",2.37171053886,"(10.054, 38.593)","(368.276, 30265.107)",120.525,0.797,major
Desire,"(0.358, 0.004)","(0.352, 0.004)",2.39197731018,"(8.317, 28.778)","(289.723, 34907.414)",143.56,1.032,major
Dreamdependence,"(0.512, 0.007)","(0.237, 0.01)",2.74352455139,"(7.15, 29.648)","(315.899, 30266.723)",147.826,1.139,minor
EarlyBird,"(0.313, 0.007)","(0.371, 0.006)",8.14094543457,"(5.751, 210.051)","(537.467, 75552.391)",99.218,0.976,minor
Earth,"(0.353, 0.002)","(0.35, 0.004)",2.43409729004,"(9.984, 64.895)","(378.431, 44191.953)",139.439,0.962,major
Echoes,"(0.384, 0.002)","(0.376, 0.003)",5.05544376373,"(5.676, 57.101)","(347.982, 40578.785)",143.226,0.845,minor
EndlessNights,"(0.547, 0.002)","(0.198, 0.006)",1.80311393738,"(9.901, 31.851)","(289.226, 40317.352)",178.206,1.176,major
Energy,"(0.413, 0.003)","(0.355, 0.005)",2.99570989609,"(7.773, 39.764)","(294.246, 56113.73)",89.309,0.99,major
Equilibrium,"(0.378, 0.003)","(0.325, 0.004)",2.7437069416,"(9.121, 32.225)","(415.397, 78790.992)",100.934,0.979,major
Escaping_Time,"(0.433, 0.009)","(0.389, 0.005)",3.27489876747,"(11.804, 63.167)","(386.333, 53120.551)",114.891,0.835,major
Felicia,"(0.41, 0.005)","(0.324, 0.005)",4.1587433815,"(5.792, 44.649)","(277.512, 39270.492)",123.529,0.908,major
FindingYou,"(0.449, 0.003)","(0.306, 0.006)",3.89145827293,"(6.408, 30.924)","(278.18, 97540.852)",78.926,0.756,major
Flowing,"(0.394, 0.004)","(0.348, 0.005)",3.51684141159,"(11.116, 84.359)","(383.997, 57053.906)",140.883,0.983,major
GelbornHeights,"(0.563, 0.005)","(0.296, 0.007)",1.94603419304,"(9.159, 37.728)","(313.159, 36944.738)",146.648,1.14,major
Geminism,"(0.37, 0.004)","(0.387, 0.003)",3.35814976692,"(11.285, 52.014)","(448.841, 94083.461)",126.192,0.917,major
GettingSleepy,"(0.362, 0.002)","(0.375, 0.004)",1.72452580929,"(10.565, 27.447)","(350.107, 37659.645)",128.592,1.01,major
HealingHarmony,"(0.256, 0.001)","(0.421, 0.002)",1.55986344814,"(15.819, 76.65)","(533.284, 238304.391)",105.735,1.053,major
Heavenly,"(0.41, 0.003)","(0.289, 0.005)",3.54383897781,"(9.231, 99.753)","(380.297, 53104.246)",139.423,0.898,minor
Hibernation,"(0.31, 0.004)","(0.355, 0.003)",5.03370761871,"(5.509, 71.878)","(391.929, 43243.238)",139.703,0.997,major
Hidden_Chambers,"(0.379, 0.004)","(0.408, 0.002)",4.19820928574,"(8.14, 47.93)","(451.189, 66730.211)",139.915,0.854,major
HolyWater,"(0.186, 0.001)","(0.411, 0.002)",3.19394469261,"(13.378, 117.869)","(713.11, 113075.023)",147.95,0.964,major
Hypnosis,"(0.432, 0.005)","(0.261, 0.008)",6.264980793,"(6.644, 59.965)","(350.22, 25420.004)",89.996,0.968,major
InBloom,"(0.446, 0.003)","(0.376, 0.003)",2.07396531105,"(12.014, 65.823)","(377.722, 66058.078)",136.665,0.936,major
Infinities,"(0.422, 0.005)","(0.359, 0.005)",3.91639184952,"(7.672, 39.64)","(332.899, 81396.023)",109.603,0.886,minor
IntheFarAwayDistance,"(0.522, 0.008)","(0.247, 0.009)",2.04322052002,"(7.673, 21.995)","(250.246, 34060.207)",151.878,1.1,minor
Kebnekajse,"(0.555, 0.003)","(0.263, 0.007)",1.65916502476,"(8.589, 22.771)","(320.805, 39610.234)",108.311,1.276,minor
Kyoto,"(0.509, 0.005)","(0.285, 0.007)",2.10112524033,"(8.995, 23.823)","(294.827, 38118.445)",110.513,1.005,minor
LaTorreDelSueno,"(0.593, 0.003)","(0.244, 0.007)",2.71651554108,"(7.651, 35.404)","(348.078, 39195.379)",129.337,0.999,minor
LongLongSleep,"(0.405, 0.003)","(0.331, 0.005)",2.82325601578,"(6.793, 26.548)","(269.436, 29940.031)",152.274,0.892,major
LostatSea,"(0.451, 0.021)","(0.286, 0.01)",3.52333641052,"(5.817, 40.55)","(357.367, 40255.988)",119.934,1.179,major
Magica,"(0.309, 0.001)","(0.366, 0.003)",2.36919736862,"(8.907, 48.92)","(334.903, 193185.969)",139.529,0.95,major
Magnolia,"(0.367, 0.001)","(0.395, 0.003)",2.33523869514,"(9.906, 24.247)","(298.019, 34499.379)",123.946,1.004,major
Mandala,"(0.308, 0.004)","(0.382, 0.005)",3.62426495552,"(13.578, 300.763)","(631.014, 1105126.625)",106.959,0.936,minor
MantricMelody,"(0.464, 0.006)","(0.288, 0.008)",2.35373663902,"(8.595, 27.409)","(324.547, 35141.539)",165.184,1.297,minor
